sample_id	morph_mosq_sp	SKA_SNP_dist_dend	verif_mosq_sp	comment	cluster_on_SKA_plot
F1318	Culex sinensis	mixed cluster	Culex sp cinctellus or gelidus or sinensis or vishnui.g	_	cluster15
F1319	Culex vishnui.g	mixed cluster	Culex sp cinctellus or gelidus or sinensis or vishnui.g	_	cluster15
F1323	Culex vishnui.g	mixed cluster	Culex sp cinctellus or gelidus or sinensis or vishnui.g	_	cluster15
F1607	Culex vishnui.g	mixed cluster	Culex sp cinctellus or gelidus or sinensis or vishnui.g	_	cluster15
F1311	Culex sinensis	mixed cluster	Culex sp cinctellus or gelidus or sinensis or vishnui.g	_	cluster15
F1596	Culex sinensis	mixed cluster	Culex sp cinctellus or gelidus or sinensis or vishnui.g	_	cluster15
F1601	Culex vishnui.g	mixed cluster	Culex sp cinctellus or gelidus or sinensis or vishnui.g	_	cluster15
F1418	Culex gelidus	mixed cluster	Culex sp cinctellus or gelidus or sinensis or vishnui.g	_	cluster15
F1603	Culex vishnui.g	mixed cluster	Culex sp cinctellus or gelidus or sinensis or vishnui.g	_	cluster15
F1591	Culex sinensis	mixed cluster	Culex sp cinctellus or gelidus or sinensis or vishnui.g	_	cluster15
F1646	Culex cinctellus	mixed cluster	Culex sp cinctellus or gelidus or sinensis or vishnui.g	_	cluster15
F1569	Culex quinquefasciatus	mixed, only 2 samples	Culex sp cinctellus or quinquefasciatus	_	cluster16
F1257	Culex cinctellus	mixed, only 2 samples	Culex sp cinctellus or quinquefasciatus	_	cluster16
F1120	Culex quinquefasciatus	correct	Culex quinquefasciatus	_	cluster17
F1426	Culex quinquefasciatus	correct	Culex quinquefasciatus	_	cluster17
F1121	Culex quinquefasciatus	correct	Culex quinquefasciatus	_	cluster17
F1573	Culex quinquefasciatus	correct	Culex quinquefasciatus	_	cluster17
F1119	Culex quinquefasciatus	correct	Culex quinquefasciatus	_	cluster17
F1126	Culex quinquefasciatus	correct	Culex quinquefasciatus	_	cluster17
F1116	Culex quinquefasciatus	correct	Culex quinquefasciatus	_	cluster17
F1125	Culex quinquefasciatus	correct	Culex quinquefasciatus	_	cluster17
F1113	Culex quinquefasciatus	correct	Culex quinquefasciatus	_	cluster17
F1115	Culex quinquefasciatus	correct	Culex quinquefasciatus	_	cluster17
F1420	Culex quinquefasciatus	correct	Culex quinquefasciatus	_	cluster17
F1419	Culex quinquefasciatus	correct	Culex quinquefasciatus	_	cluster17
F1431	Culex quinquefasciatus	correct	Culex quinquefasciatus	_	cluster17
F1428	Culex quinquefasciatus	correct	Culex quinquefasciatus	_	cluster17
F1433	Culex quinquefasciatus	correct	Culex quinquefasciatus	_	cluster17
F1432	Culex quinquefasciatus	correct	Culex quinquefasciatus	_	cluster17
F1118	Culex quinquefasciatus	correct	Culex quinquefasciatus	_	cluster17
F1580	Culex quinquefasciatus	correct	Culex quinquefasciatus	_	cluster17
F1578	Culex quinquefasciatus	correct	Culex quinquefasciatus	_	cluster17
F1579	Culex quinquefasciatus	correct	Culex quinquefasciatus	_	cluster17
F1581	Culex quinquefasciatus	correct	Culex quinquefasciatus	_	cluster17
F1427	Culex quinquefasciatus	correct	Culex quinquefasciatus	_	cluster17
F1041	Culex quinquefasciatus	correct	Culex quinquefasciatus	_	cluster17
F1112	Culex quinquefasciatus	correct	Culex quinquefasciatus	_	cluster17
F1577	Culex quinquefasciatus	correct	Culex quinquefasciatus	_	cluster17
F1423	Culex quinquefasciatus	correct	Culex quinquefasciatus	_	cluster17
F1572	Culex quinquefasciatus	correct	Culex quinquefasciatus	_	cluster17
F1422	Culex quinquefasciatus	correct	Culex quinquefasciatus	_	cluster17
F1123	Culex quinquefasciatus	correct	Culex quinquefasciatus	_	cluster17
F1117	Culex quinquefasciatus	correct	Culex quinquefasciatus	_	cluster17
F1122	Culex quinquefasciatus	correct	Culex quinquefasciatus	_	cluster17
F1425	Culex quinquefasciatus	correct	Culex quinquefasciatus	_	cluster17
F1576	Culex quinquefasciatus	correct	Culex quinquefasciatus	_	cluster17
F1582	Culex quinquefasciatus	correct	Culex quinquefasciatus	_	cluster17
F1571	Culex quinquefasciatus	correct	Culex quinquefasciatus	_	cluster17
F1575	Culex quinquefasciatus	correct	Culex quinquefasciatus	_	cluster17
F1570	Culex quinquefasciatus	correct	Culex quinquefasciatus	_	cluster17
F1430	Culex quinquefasciatus	correct	Culex quinquefasciatus	_	cluster17
F1124	Culex quinquefasciatus	correct	Culex quinquefasciatus	_	cluster17
F1429	Culex quinquefasciatus	correct	Culex quinquefasciatus	_	cluster17
F1574	Culex quinquefasciatus	correct	Culex quinquefasciatus	_	cluster17
F1424	Culex quinquefasciatus	correct	Culex quinquefasciatus	_	cluster17
F1114	Culex quinquefasciatus	correct	Culex quinquefasciatus	_	cluster17
F1040	Culex quinquefasciatus	correct	Culex quinquefasciatus	_	cluster17
F1616	Mansonia indiana	correct	Mansonia indiana	_	cluster18
F1619	Mansonia indiana	correct	Mansonia indiana	_	cluster18
F1617	Mansonia indiana	correct	Mansonia indiana	_	cluster18
F1486	Mansonia indiana	correct	Mansonia indiana	_	cluster18
F1622	Mansonia indiana	correct	Mansonia indiana	_	cluster18
F1618	Mansonia indiana	correct	Mansonia indiana	_	cluster18
F1628	Mansonia indiana	correct	Mansonia indiana	_	cluster18
F1627	Mansonia indiana	correct	Mansonia indiana	_	cluster18
F1621	Mansonia indiana	correct	Mansonia indiana	_	cluster18
F1482	Mansonia indiana	correct	Mansonia indiana	_	cluster18
F1477	Mansonia indiana	correct	Mansonia indiana	_	cluster18
F1476	Mansonia indiana	correct	Mansonia indiana	_	cluster18
F1626	Mansonia indiana	correct	Mansonia indiana	_	cluster18
F1484	Mansonia indiana	correct	Mansonia indiana	_	cluster18
F1472	Mansonia indiana	correct	Mansonia indiana	_	cluster18
F1480	Mansonia indiana	correct	Mansonia indiana	_	cluster18
F1620	Mansonia indiana	correct	Mansonia indiana	_	cluster18
F1483	Mansonia indiana	correct	Mansonia indiana	_	cluster18
F1479	Mansonia indiana	correct	Mansonia indiana	_	cluster18
F1481	Mansonia indiana	correct	Mansonia indiana	_	cluster18
F1630	Mansonia indiana	correct	Mansonia indiana	_	cluster18
F1478	Mansonia indiana	correct	Mansonia indiana	_	cluster18
F1473	Mansonia indiana	correct	Mansonia indiana	_	cluster18
F1474	Mansonia indiana	correct	Mansonia indiana	_	cluster18
F1625	Mansonia indiana	correct	Mansonia indiana	_	cluster18
F1614	Mansonia annulifera	correct	Mansonia annulifera	_	cluster19
F1470	Mansonia annulifera	correct	Mansonia annulifera	_	cluster19
F1468	Mansonia annulifera	correct	Mansonia annulifera	_	cluster19
F1471	Mansonia annulifera	correct	Mansonia annulifera	_	cluster19
F1615	Mansonia annulifera	correct	Mansonia annulifera	_	cluster19
F1469	Mansonia annulifera	correct	Mansonia annulifera	_	cluster19
F1467	Mansonia annulifera	correct	Mansonia annulifera	_	cluster19
F1631	Mansonia uniformis	correct	Mansonia uniformis	_	cluster20
F1633	Mansonia uniformis	correct	Mansonia uniformis	_	cluster20
F1632	Mansonia uniformis	correct	Mansonia uniformis	_	cluster20
F1641	Mansonia uniformis	correct	Mansonia uniformis	_	cluster20
F1489	Mansonia uniformis	correct	Mansonia uniformis	_	cluster20
F1488	Mansonia uniformis	correct	Mansonia uniformis	_	cluster20
F1643	Mansonia uniformis	correct	Mansonia uniformis	_	cluster20
F1498	Mansonia uniformis	correct	Mansonia uniformis	_	cluster20
F1640	Mansonia uniformis	correct	Mansonia uniformis	_	cluster20
F1623	Mansonia indiana	misannotated	Mansonia uniformis	Possibly misannotated uniformis, because:  1) it clusters with uniformis on SKA; 2) it was quite poorly sequenced (few reads, P2M platform); 3) it has the same phasivirus virus as the uniformis F1632. For further conclusiveness, COI and COII should provide some info.	cluster20
F1334	Mansonia annulifera	mixed cluster, internally divergent	Culicidae sp Armigeres subalbatus or Culex cinctellus or Mansonia annulifera	_	cluster21
F1216	Armigeres subalbatus	mixed cluster, internally divergent	Culicidae sp Armigeres subalbatus or Culex cinctellus or Mansonia annulifera	_	cluster21
F1217	Armigeres subalbatus	mixed cluster, internally divergent	Culicidae sp Armigeres subalbatus or Culex cinctellus or Mansonia annulifera	_	cluster21
F1250	Culex cinctellus	mixed cluster, internally divergent	Culicidae sp Armigeres subalbatus or Culex cinctellus or Mansonia annulifera	_	cluster21
F1384	Armigeres subalbatus	correct, internally divergent	Armigeres subalbatus	_	cluster22
F1378	Armigeres subalbatus	correct, internally divergent	Armigeres subalbatus	_	cluster22
F1375	Armigeres subalbatus	correct, internally divergent	Armigeres subalbatus	_	cluster22
F1527	Armigeres subalbatus	correct, internally divergent	Armigeres subalbatus	_	cluster22
F1089	Armigeres subalbatus	correct, internally divergent	Armigeres subalbatus	_	cluster22
F1534	Armigeres subalbatus	correct, internally divergent	Armigeres subalbatus	_	cluster22
F1523	Armigeres subalbatus	correct, internally divergent	Armigeres subalbatus	_	cluster22
F1223	Armigeres subalbatus	correct, internally divergent	Armigeres subalbatus	_	cluster22
F1092	Armigeres subalbatus	correct, internally divergent	Armigeres subalbatus	_	cluster22
F1022	Armigeres subalbatus	correct, internally divergent	Armigeres subalbatus	_	cluster22
F1213	Armigeres subalbatus	correct, internally divergent	Armigeres subalbatus	_	cluster22
F1094	Armigeres subalbatus	correct, internally divergent	Armigeres subalbatus	_	cluster22
F1095	Armigeres subalbatus	correct, internally divergent	Armigeres subalbatus	_	cluster22
F1097	Armigeres subalbatus	correct, internally divergent	Armigeres subalbatus	_	cluster22
F1215	Armigeres subalbatus	correct, internally divergent	Armigeres subalbatus	_	cluster22
F1019	Armigeres subalbatus	correct, internally divergent	Armigeres subalbatus	_	cluster22
F1224	Armigeres subalbatus	correct, internally divergent	Armigeres subalbatus	_	cluster22
F1385	Armigeres subalbatus	correct, internally divergent	Armigeres subalbatus	_	cluster22
F1374	Armigeres subalbatus	correct, internally divergent	Armigeres subalbatus	_	cluster22
F1377	Armigeres subalbatus	correct, internally divergent	Armigeres subalbatus	_	cluster22
F1382	Armigeres subalbatus	correct, internally divergent	Armigeres subalbatus	_	cluster22
F1381	Armigeres subalbatus	correct, internally divergent	Armigeres subalbatus	_	cluster22
F1380	Armigeres subalbatus	correct, internally divergent	Armigeres subalbatus	_	cluster22
F1221	Armigeres subalbatus	correct, internally divergent	Armigeres subalbatus	_	cluster22
F1379	Armigeres subalbatus	correct, internally divergent	Armigeres subalbatus	_	cluster22
F1090	Armigeres subalbatus	correct, internally divergent	Armigeres subalbatus	_	cluster22
F1091	Armigeres subalbatus	correct, internally divergent	Armigeres subalbatus	_	cluster22
F1087	Armigeres subalbatus	correct, internally divergent	Armigeres subalbatus	_	cluster22
F1099	Armigeres subalbatus	correct, internally divergent	Armigeres subalbatus	_	cluster22
F1211	Armigeres subalbatus	correct, internally divergent	Armigeres subalbatus	_	cluster22
F1219	Armigeres subalbatus	correct, internally divergent	Armigeres subalbatus	_	cluster22
F1220	Armigeres subalbatus	correct, internally divergent	Armigeres subalbatus	_	cluster22
F1096	Armigeres subalbatus	correct, internally divergent	Armigeres subalbatus	_	cluster22
F1212	Armigeres subalbatus	correct, internally divergent	Armigeres subalbatus	_	cluster22
F1222	Armigeres subalbatus	correct, internally divergent	Armigeres subalbatus	_	cluster22
F1098	Armigeres subalbatus	correct, internally divergent	Armigeres subalbatus	_	cluster22
F1100	Armigeres subalbatus	correct, internally divergent	Armigeres subalbatus	_	cluster22
F1383	Armigeres subalbatus	correct, internally divergent	Armigeres subalbatus	_	cluster22
F1529	Armigeres subalbatus	correct, internally divergent	Armigeres subalbatus	_	cluster22
F1093	Armigeres subalbatus	correct, internally divergent	Armigeres subalbatus	_	cluster22
F1533	Armigeres subalbatus	correct, internally divergent	Armigeres subalbatus	_	cluster22
F1528	Armigeres subalbatus	correct, internally divergent	Armigeres subalbatus	_	cluster22
F1537	Armigeres subalbatus	correct, internally divergent	Armigeres subalbatus	_	cluster22
F1536	Armigeres subalbatus	correct, internally divergent	Armigeres subalbatus	_	cluster22
F1530	Armigeres subalbatus	correct, internally divergent	Armigeres subalbatus	_	cluster22
F1526	Armigeres subalbatus	correct, internally divergent	Armigeres subalbatus	_	cluster22
F1531	Armigeres subalbatus	correct, internally divergent	Armigeres subalbatus	_	cluster22
F1532	Armigeres subalbatus	correct, internally divergent	Armigeres subalbatus	_	cluster22
F1525	Armigeres subalbatus	correct, internally divergent	Armigeres subalbatus	_	cluster22
F1371	Armigeres subalbatus	correct, internally divergent	Armigeres subalbatus	_	cluster22
F1372	Armigeres subalbatus	correct, internally divergent	Armigeres subalbatus	_	cluster22
F1373	Armigeres subalbatus	correct, internally divergent	Armigeres subalbatus	_	cluster22
F1088	Armigeres subalbatus	correct, internally divergent	Armigeres subalbatus	_	cluster22
F1021	Armigeres subalbatus	correct, internally divergent	Armigeres subalbatus	_	cluster22
F1210	Armigeres subalbatus	correct, internally divergent	Armigeres subalbatus	_	cluster22
F1535	Armigeres subalbatus	correct, internally divergent	Armigeres subalbatus	_	cluster22
F1020	Armigeres subalbatus	correct, internally divergent	Armigeres subalbatus	_	cluster22
F1524	Armigeres subalbatus	correct, internally divergent	Armigeres subalbatus	_	cluster22
F1101	Armigeres subalbatus	correct, internally divergent	Armigeres subalbatus	_	cluster22
F1209	Aedes thailandensis	correct	Aedes thailandensis	_	cluster23
F1206	Aedes thailandensis	correct	Aedes thailandensis	_	cluster23
F1202	Aedes thailandensis	correct	Aedes thailandensis	_	cluster23
F1201	Aedes thailandensis	correct	Aedes thailandensis	_	cluster23
F1205	Aedes thailandensis	correct	Aedes thailandensis	_	cluster23
F1207	Aedes thailandensis	correct	Aedes thailandensis	_	cluster23
F1200	Aedes thailandensis	correct	Aedes thailandensis	_	cluster23
F1203	Aedes thailandensis	correct	Aedes thailandensis	_	cluster23
F1204	Aedes thailandensis	correct	Aedes thailandensis	_	cluster23
F1182	Aedes caecus	misannotated	Aedes thailandensis	_	cluster23
F1177	Aedes caecus	correct	Aedes caecus	_	cluster24
F1172	Aedes caecus	correct	Aedes caecus	_	cluster24
F1187	Aedes caecus	correct	Aedes caecus	_	cluster24
F1186	Aedes caecus	correct	Aedes caecus	_	cluster24
F1185	Aedes caecus	correct	Aedes caecus	_	cluster24
F1598	Culex tritaeniorhynchus	mixed cluster, internally divergent	Culicidae sp Aedes caecus or Culex bitaeniorhynchus or Culex tritaeniorhynchus or Culex vishnui.g or Mansonia uniformis	_	cluster25
F1330	Culex vishnui.g	mixed cluster, internally divergent	Culicidae sp Aedes caecus or Culex bitaeniorhynchus or Culex tritaeniorhynchus or Culex vishnui.g or Mansonia uniformis	_	cluster25
F1178	Aedes caecus	mixed cluster, internally divergent	Culicidae sp Aedes caecus or Culex bitaeniorhynchus or Culex tritaeniorhynchus or Culex vishnui.g or Mansonia uniformis	_	cluster25
F1555	Culex bitaeniorhynchus	mixed cluster, internally divergent	Culicidae sp Aedes caecus or Culex bitaeniorhynchus or Culex tritaeniorhynchus or Culex vishnui.g or Mansonia uniformis	_	cluster25
F1492	Mansonia uniformis	mixed cluster, internally divergent	Culicidae sp Aedes caecus or Culex bitaeniorhynchus or Culex tritaeniorhynchus or Culex vishnui.g or Mansonia uniformis	_	cluster25
F1490	Mansonia uniformis	mixed cluster, internally divergent	Culicidae sp Aedes caecus or Culex bitaeniorhynchus or Culex tritaeniorhynchus or Culex vishnui.g or Mansonia uniformis	_	cluster25
F1067	Aedes aegypti	correct	Aedes aegypti	_	cluster26
F1059	Aedes aegypti	correct	Aedes aegypti	_	cluster26
F1507	Aedes aegypti	correct	Aedes aegypti	_	cluster26
F1058	Aedes aegypti	correct	Aedes aegypti	_	cluster26
F1335	Aedes aegypti	correct	Aedes aegypti	_	cluster26
F1336	Aedes aegypti	correct	Aedes aegypti	_	cluster26
F1063	Aedes aegypti	correct	Aedes aegypti	_	cluster26
F1061	Aedes aegypti	correct	Aedes aegypti	_	cluster26
F1086	Aedes aegypti	correct	Aedes aegypti	_	cluster26
F1339	Aedes aegypti	correct	Aedes aegypti	_	cluster26
F1503	Aedes aegypti	correct	Aedes aegypti	_	cluster26
F1504	Aedes aegypti	correct	Aedes aegypti	_	cluster26
F1505	Aedes aegypti	correct	Aedes aegypti	_	cluster26
F1002	Aedes aegypti	correct	Aedes aegypti	_	cluster26
F1064	Aedes aegypti	correct	Aedes aegypti	_	cluster26
F1001	Aedes aegypti	correct	Aedes aegypti	_	cluster26
F1068	Aedes aegypti	correct	Aedes aegypti	_	cluster26
F1065	Aedes aegypti	correct	Aedes aegypti	_	cluster26
F1085	Aedes aegypti	correct	Aedes aegypti	_	cluster26
F1084	Aedes aegypti	correct	Aedes aegypti	_	cluster26
F1060	Aedes aegypti	correct	Aedes aegypti	_	cluster26
F1506	Aedes aegypti	correct	Aedes aegypti	_	cluster26
F1062	Aedes aegypti	correct	Aedes aegypti	_	cluster26
F1195	Aedes gardneri	mixed cluster, internally divergent	Aedes sp albopictus or gardneri	_	cluster27
F1198	Aedes gardneri	mixed cluster, internally divergent	Aedes sp albopictus or gardneri	_	cluster27
F1346	Aedes albopictus	mixed cluster, internally divergent	Aedes sp albopictus or gardneri	_	cluster27
F1011	Aedes albopictus	mixed cluster, internally divergent	Aedes sp albopictus or gardneri	_	cluster27
F1196	Aedes gardneri	mixed cluster, internally divergent	Aedes sp albopictus or gardneri	_	cluster27
F1190	Aedes gardneri	mixed cluster, internally divergent	Aedes sp albopictus or gardneri	_	cluster27
F1192	Aedes gardneri	mixed cluster, internally divergent	Aedes sp albopictus or gardneri	_	cluster27
F1193	Aedes gardneri	mixed cluster, internally divergent	Aedes sp albopictus or gardneri	_	cluster27
F1347	Aedes albopictus	mixed cluster, internally divergent	Aedes sp albopictus or gardneri	_	cluster27
F1194	Aedes gardneri	mixed cluster, internally divergent	Aedes sp albopictus or gardneri	related to F1191; cluster with 2 sequences only and it is indeed related to other Aedes gardneri. It is most likely correct species assignment.	cluster27
F1191	Aedes gardneri	mixed cluster, internally divergent	Aedes sp albopictus or gardneri	related to F1194; cluster with 2 sequences only and it is indeed related to other Aedes gardneri. It is most likely correct species assignment.	cluster27
F1353	Culex sinensis	misannotated	Aedes albopictus	_	cluster28
F1184	Aedes caecus	misannotated	Aedes albopictus	_	cluster28
F1349	Aedes albopictus	correct	Aedes albopictus	_	cluster28
F1508	Aedes albopictus	correct	Aedes albopictus	_	cluster28
F1513	Aedes albopictus	correct	Aedes albopictus	_	cluster28
F1514	Aedes albopictus	correct	Aedes albopictus	_	cluster28
F1511	Aedes albopictus	correct	Aedes albopictus	_	cluster28
F1519	Aedes albopictus	correct	Aedes albopictus	_	cluster28
F1337	Aedes aegypti	misannotated	Aedes albopictus	_	cluster28
F1007	Aedes albopictus	correct	Aedes albopictus	_	cluster28
F1008	Aedes albopictus	correct	Aedes albopictus	_	cluster28
F1013	Aedes albopictus	correct	Aedes albopictus	_	cluster28
F1075	Aedes albopictus	correct	Aedes albopictus	_	cluster28
F1069	Aedes albopictus	correct	Aedes albopictus	_	cluster28
F1014	Aedes albopictus	correct	Aedes albopictus	_	cluster28
F1004	Aedes albopictus	correct	Aedes albopictus	_	cluster28
F1003	Aedes albopictus	correct	Aedes albopictus	_	cluster28
F1518	Aedes albopictus	correct	Aedes albopictus	_	cluster28
F1515	Aedes albopictus	correct	Aedes albopictus	_	cluster28
F1161	Aedes albopictus	correct	Aedes albopictus	_	cluster28
F1521	Aedes albopictus	correct	Aedes albopictus	_	cluster28
F1197	Aedes gardneri	misannotated	Aedes albopictus	_	cluster28
F1342	Aedes albopictus	correct	Aedes albopictus	_	cluster28
F1159	Aedes albopictus	correct	Aedes albopictus	_	cluster28
F1344	Aedes albopictus	correct	Aedes albopictus	_	cluster28
F1070	Aedes albopictus	correct	Aedes albopictus	_	cluster28
F1352	Culex bitaeniorhynchus	misannotated	Aedes albopictus	_	cluster28
F1012	Aedes albopictus	correct	Aedes albopictus	_	cluster28
F1010	Aedes albopictus	correct	Aedes albopictus	_	cluster28
F1006	Aedes albopictus	correct	Aedes albopictus	_	cluster28
F1015	Aedes albopictus	correct	Aedes albopictus	_	cluster28
F1017	Aedes albopictus	correct	Aedes albopictus	_	cluster28
F1165	Aedes albopictus	correct	Aedes albopictus	_	cluster28
F1079	Aedes albopictus	correct	Aedes albopictus	_	cluster28
F1016	Aedes albopictus	correct	Aedes albopictus	_	cluster28
F1083	Aedes albopictus	correct	Aedes albopictus	_	cluster28
F1520	Aedes albopictus	correct	Aedes albopictus	_	cluster28
F1341	Aedes albopictus	correct	Aedes albopictus	_	cluster28
F1009	Aedes albopictus	correct	Aedes albopictus	_	cluster28
F1005	Aedes albopictus	correct	Aedes albopictus	_	cluster28
F1509	Aedes albopictus	correct	Aedes albopictus	_	cluster28
F1517	Aedes albopictus	correct	Aedes albopictus	_	cluster28
F1076	Aedes albopictus	correct	Aedes albopictus	_	cluster28
F1162	Aedes albopictus	correct	Aedes albopictus	_	cluster28
F1516	Aedes albopictus	correct	Aedes albopictus	_	cluster28
F1343	Aedes albopictus	correct	Aedes albopictus	_	cluster28
F1066	Aedes aegypti	misannotated	Aedes albopictus	_	cluster28
F1350	Aedes albopictus	correct	Aedes albopictus	_	cluster28
F1080	Aedes albopictus	correct	Aedes albopictus	_	cluster28
F1171	Aedes albopictus	correct	Aedes albopictus	_	cluster28
F1082	Aedes albopictus	correct	Aedes albopictus	_	cluster28
F1340	Aedes aegypti	misannotated	Aedes albopictus	_	cluster28
F1345	Aedes albopictus	correct	Aedes albopictus	_	cluster28
F1157	Aedes albopictus	correct	Aedes albopictus	_	cluster28
F1348	Aedes albopictus	correct	Aedes albopictus	_	cluster28
F1081	Aedes albopictus	correct	Aedes albopictus	_	cluster28
F1168	Aedes albopictus	correct	Aedes albopictus	_	cluster28
F1078	Aedes albopictus	correct	Aedes albopictus	_	cluster28
F1160	Aedes albopictus	correct	Aedes albopictus	_	cluster28
F1074	Aedes albopictus	correct	Aedes albopictus	_	cluster28
F1158	Aedes albopictus	correct	Aedes albopictus	_	cluster28
F1071	Aedes albopictus	correct	Aedes albopictus	_	cluster28
F1163	Aedes albopictus	correct	Aedes albopictus	_	cluster28
F1351	Culex bitaeniorhynchus	misannotated	Aedes albopictus	_	cluster28
F1167	Aedes albopictus	correct	Aedes albopictus	_	cluster28
F1164	Aedes albopictus	correct	Aedes albopictus	_	cluster28
F1463	Culex vishnui.g	could not be analyzed	NA	SKA did not work for these samples	not relevant
F1234	Coquillettidia crassipes	could not be analyzed	NA	SKA did not work for these samples	not relevant
F1288	Culex quinquefasciatus	could not be analyzed	NA	SKA did not work for these samples	not relevant
F1073	Aedes albopictus	could not be analyzed	NA	SKA did not work for these samples	not relevant
PBS1c	NA	could not be analyzed	NA	SKA did not work for these samples	not relevant
PBS1a	NA	could not be analyzed	NA	SKA did not work for these samples	not relevant
PBS1b	NA	could not be analyzed	NA	SKA did not work for these samples	not relevant
PBS2a	NA	could not be analyzed	NA	SKA did not work for these samples	not relevant
PBS4a	NA	could not be analyzed	NA	SKA did not work for these samples	not relevant
PBS4b	NA	could not be analyzed	NA	SKA did not work for these samples	not relevant
PBS5a	NA	could not be analyzed	NA	SKA did not work for these samples	not relevant
PBS5b	NA	could not be analyzed	NA	SKA did not work for these samples	not relevant
PBS6a	NA	could not be analyzed	NA	SKA did not work for these samples	not relevant
PBS6b	NA	could not be analyzed	NA	SKA did not work for these samples	not relevant
PBS7a	NA	could not be analyzed	NA	SKA did not work for these samples	not relevant
PBS7b	NA	could not be analyzed	NA	SKA did not work for these samples	not relevant
PBS8a	NA	could not be analyzed	NA	SKA did not work for these samples	not relevant
PBS8b	NA	could not be analyzed	NA	SKA did not work for these samples	not relevant
PBS9b	NA	could not be analyzed	NA	SKA did not work for these samples	not relevant
PBS10a	NA	could not be analyzed	NA	SKA did not work for these samples	not relevant
PBS12a	NA	could not be analyzed	NA	SKA did not work for these samples	not relevant
PBS14b	NA	could not be analyzed	NA	SKA did not work for these samples	not relevant
PBS15a	NA	could not be analyzed	NA	SKA did not work for these samples	not relevant
PBS14a	NA	could not be analyzed	NA	SKA did not work for these samples	not relevant
PBS13b	NA	could not be analyzed	NA	SKA did not work for these samples	not relevant
PBS13a	NA	could not be analyzed	NA	SKA did not work for these samples	not relevant
PBS18a	NA	could not be analyzed	NA	SKA did not work for these samples	not relevant
PBS16a	NA	could not be analyzed	NA	SKA did not work for these samples	not relevant
PBS15b	NA	could not be analyzed	NA	SKA did not work for these samples	not relevant
PBS16b	NA	could not be analyzed	NA	SKA did not work for these samples	not relevant
PBS11a	NA	could not be analyzed	NA	SKA did not work for these samples	not relevant
PBS19a	NA	could not be analyzed	NA	SKA did not work for these samples	not relevant
PBS19b	NA	could not be analyzed	NA	SKA did not work for these samples	not relevant
PBS20a	NA	could not be analyzed	NA	SKA did not work for these samples	not relevant
PBS20b	NA	could not be analyzed	NA	SKA did not work for these samples	not relevant